Entry Time,Exit Time,Type,Entry Price,Exit Price,Quantity,PNL,Outcome,Balance After Trade,cumulative_pnl,cumulative_balance
2023-03-15 15:30:00,2023-03-15 15:31:00,long,12125.75,12130.75,1,85.0,TP,25515.0,-74485.0,25515.0
2023-03-15 20:24:00,2023-03-15 20:37:00,short,12266.0,12271.0,1,-115.0,SL,25400.0,-74600.0,25400.0
2023-03-15 20:39:00,2023-03-15 20:46:00,short,12268.25,12273.25,1,-115.0,SL,25285.0,-74715.0,25285.0
2023-03-15 23:01:00,2023-03-15 23:02:00,short,12290.5,12295.5,1,-115.0,SL,25170.0,-74830.0,25170.0
2023-03-15 23:20:00,2023-03-15 23:24:00,long,12295.0,12290.0,1,-115.0,SL,25055.0,-74945.0,25055.0
2023-03-16 00:48:00,2023-03-16 00:49:00,short,12303.75,12298.75,1,85.0,TP,25140.0,-74860.0,25140.0
2023-03-16 01:46:00,2023-03-16 01:51:00,long,12315.0,12310.0,1,-115.0,SL,25025.0,-74975.0,25025.0
2023-03-16 04:18:00,2023-03-16 04:20:00,long,12307.5,12302.5,1,-115.0,SL,24910.0,-75090.0,24910.0
2023-03-16 05:30:00,2023-03-16 05:38:00,short,12305.25,12310.25,1,-115.0,SL,24795.0,-75205.0,24795.0
2023-03-16 06:29:00,2023-03-16 06:30:00,long,12288.75,12293.75,1,85.0,TP,24880.0,-75120.0,24880.0
2023-03-16 08:36:00,2023-03-16 08:37:00,long,12300.25,12305.25,1,85.0,TP,24965.0,-75035.0,24965.0
2023-03-16 10:27:00,2023-03-16 10:28:00,long,12282.75,12287.75,1,85.0,TP,25050.0,-74950.0,25050.0
2023-03-16 11:09:00,2023-03-16 11:10:00,long,12267.5,12262.5,1,-115.0,SL,24935.0,-75065.0,24935.0
2023-03-16 15:45:00,2023-03-16 15:47:00,short,12481.25,12486.25,1,-115.0,SL,24820.0,-75180.0,24820.0
2023-03-16 16:38:00,2023-03-16 16:39:00,long,12495.75,12500.75,1,85.0,TP,24905.0,-75095.0,24905.0
2023-03-17 12:15:00,2023-03-17 12:18:00,long,12598.75,12593.75,1,-115.0,SL,24790.0,-75210.0,24790.0
2023-03-17 13:00:00,2023-03-17 13:03:00,long,12550.25,12555.25,1,85.0,TP,24875.0,-75125.0,24875.0
2023-04-03 02:34:00,2023-04-03 02:47:00,long,13216.75,13211.75,1,-115.0,SL,24760.0,-75240.0,24760.0
2023-04-03 06:20:00,2023-04-03 06:23:00,short,13221.25,13216.25,1,85.0,TP,24845.0,-75155.0,24845.0
2023-04-03 06:35:00,2023-04-03 06:46:00,short,13218.75,13223.75,1,-115.0,SL,24730.0,-75270.0,24730.0
2023-04-03 07:38:00,2023-04-03 07:47:00,long,13228.5,13223.5,1,-115.0,SL,24615.0,-75385.0,24615.0
2023-04-03 08:42:00,2023-04-03 08:49:00,long,13208.0,13213.0,1,85.0,TP,24700.0,-75300.0,24700.0
2023-04-03 10:48:00,2023-04-03 10:52:00,long,13223.75,13228.75,1,85.0,TP,24785.0,-75215.0,24785.0
2023-04-03 16:49:00,2023-04-03 16:51:00,long,13189.5,13194.5,1,85.0,TP,24870.0,-75130.0,24870.0
2023-04-03 17:08:00,2023-04-03 17:09:00,long,13167.0,13172.0,1,85.0,TP,24955.0,-75045.0,24955.0
2023-04-03 17:47:00,2023-04-03 17:48:00,long,13170.0,13165.0,1,-115.0,SL,24840.0,-75160.0,24840.0
2023-04-03 19:20:00,2023-04-03 19:22:00,short,13232.75,13237.75,1,-115.0,SL,24725.0,-75275.0,24725.0
