Entry Time,Position,Entry Price,SL Price,TP Price,Exit Time,Exit Reason,Exit Price,P&L,cumulative_pnl
2024-04-24 07:00:00,short,17727.25,,,2024-04-24 07:04:00,SL,17732.25,-115.0,-115185.0
2024-04-24 09:02:00,long,17697.75,,,2024-04-24 09:05:00,TP,17702.75,85.0,-115100.0
2024-04-24 09:44:00,short,17684.25,,,2024-04-24 09:48:00,TP,17679.25,85.0,-115015.0
2024-04-24 10:00:00,short,17678.0,,,2024-04-24 10:01:00,SL,17683.0,-115.0,-115130.0
2024-04-24 12:10:00,short,17721.5,,,2024-04-24 12:13:00,TP,17716.5,85.0,-115045.0
2024-04-24 13:32:00,short,17723.25,,,2024-04-24 13:33:00,TP,17718.25,85.0,-114960.0
2024-04-24 13:52:00,short,17775.25,,,2024-04-24 13:53:00,TP,17770.25,85.0,-114875.0
2024-04-24 14:22:00,long,17734.0,,,2024-04-24 14:23:00,TP,17739.0,85.0,-114790.0
2024-04-24 15:22:00,long,17652.25,,,2024-04-24 15:23:00,SL,17647.25,-115.0,-114905.0
2024-04-24 16:24:00,long,17599.5,,,2024-04-24 16:25:00,TP,17604.5,85.0,-114820.0
2024-04-24 16:30:00,short,17590.75,,,2024-04-24 16:31:00,TP,17585.75,85.0,-114735.0
2024-04-24 16:40:00,short,17587.25,,,2024-04-24 16:42:00,TP,17582.25,85.0,-114650.0
2024-04-24 17:14:00,short,17618.75,,,2024-04-24 17:16:00,SL,17623.75,-115.0,-114765.0
2024-04-24 18:37:00,long,17633.25,,,2024-04-24 18:38:00,SL,17628.25,-115.0,-114880.0
2024-04-24 22:52:00,short,17470.75,,,2024-04-24 22:54:00,TP,17465.75,85.0,-114795.0
2024-04-25 02:43:00,long,17466.0,,,2024-04-25 02:50:00,SL,17461.0,-115.0,-114910.0
2024-04-25 03:44:00,short,17460.0,,,2024-04-25 04:06:00,TP,17455.0,85.0,-114825.0
2024-04-25 04:26:00,short,17456.5,,,2024-04-25 04:36:00,SL,17461.5,-115.0,-114940.0
2024-04-25 05:01:00,short,17452.25,,,2024-04-25 05:04:00,TP,17447.25,85.0,-114855.0
2024-04-25 05:28:00,long,17427.0,,,2024-04-25 05:31:00,TP,17432.0,85.0,-114770.0
2024-04-25 09:34:00,long,17510.75,,,2024-04-25 09:37:00,TP,17515.75,85.0,-114685.0
2024-04-25 10:09:00,long,17511.0,,,2024-04-25 10:12:00,SL,17506.0,-115.0,-114800.0
2024-04-25 13:35:00,long,17345.0,,,2024-04-25 13:36:00,SL,17340.0,-115.0,-114915.0
2024-04-25 15:47:00,long,17385.5,,,2024-04-25 15:48:00,SL,17380.5,-115.0,-115030.0
2024-04-25 16:37:00,short,17455.25,,,2024-04-25 16:38:00,TP,17450.25,85.0,-114945.0
2024-04-25 17:12:00,long,17505.5,,,2024-04-25 17:13:00,SL,17500.5,-115.0,-115060.0
2024-04-25 17:16:00,long,17492.5,,,2024-04-25 17:17:00,SL,17487.5,-115.0,-115175.0
2024-04-26 01:04:00,long,17755.5,,,2024-04-26 01:14:00,SL,17750.5,-115.0,-115290.0
2024-04-26 02:24:00,long,17771.0,,,2024-04-26 02:43:00,SL,17766.0,-115.0,-115405.0
2024-04-26 03:10:00,short,17764.0,,,2024-04-26 03:24:00,SL,17769.0,-115.0,-115520.0
2024-04-26 05:20:00,short,17762.0,,,2024-04-26 05:39:00,SL,17767.0,-115.0,-115635.0
2024-04-26 07:11:00,long,17750.75,,,2024-04-26 07:12:00,TP,17755.75,85.0,-115550.0
2024-04-26 07:52:00,long,17762.75,,,2024-04-26 07:53:00,TP,17767.75,85.0,-115465.0
2024-04-26 08:02:00,long,17760.25,,,2024-04-26 08:03:00,SL,17755.25,-115.0,-115580.0
2024-04-26 08:28:00,long,17755.75,,,2024-04-26 08:34:00,SL,17750.75,-115.0,-115695.0
2024-04-26 08:47:00,short,17747.25,,,2024-04-26 08:49:00,TP,17742.25,85.0,-115610.0
2024-04-26 10:14:00,short,17729.75,,,2024-04-26 10:17:00,SL,17734.75,-115.0,-115725.0
2024-04-26 10:34:00,long,17745.5,,,2024-04-26 10:35:00,SL,17740.5,-115.0,-115840.0
2024-04-26 11:23:00,short,17757.0,,,2024-04-26 11:24:00,TP,17752.0,85.0,-115755.0
2024-04-26 12:02:00,long,17742.25,,,2024-04-26 12:04:00,SL,17737.25,-115.0,-115870.0
2024-04-26 13:33:00,long,17711.5,,,2024-04-26 13:34:00,TP,17716.5,85.0,-115785.0
2024-04-26 13:40:00,short,17725.0,,,2024-04-26 13:41:00,TP,17720.0,85.0,-115700.0
2024-04-26 14:23:00,long,17824.25,,,2024-04-26 14:24:00,TP,17829.25,85.0,-115615.0
2024-04-26 14:43:00,short,17826.25,,,2024-04-26 14:45:00,TP,17821.25,85.0,-115530.0
2024-04-26 14:50:00,short,17828.75,,,2024-04-26 14:51:00,TP,17823.75,85.0,-115445.0
2024-04-26 15:29:00,short,17837.25,,,2024-04-26 15:30:00,TP,17832.25,85.0,-115360.0
2024-04-26 16:08:00,long,17843.5,,,2024-04-26 16:10:00,TP,17848.5,85.0,-115275.0
2024-04-26 17:16:00,short,17881.5,,,2024-04-26 17:20:00,SL,17886.5,-115.0,-115390.0
2024-04-26 18:56:00,long,17847.75,,,2024-04-26 18:57:00,TP,17852.75,85.0,-115305.0
2024-04-26 19:37:00,long,17881.0,,,2024-04-26 19:40:00,SL,17876.0,-115.0,-115420.0
2024-04-28 23:09:00,short,17859.5,,,2024-04-28 23:15:00,TP,17854.5,85.0,-115335.0
2024-04-28 23:47:00,long,17876.5,,,2024-04-28 23:51:00,TP,17881.5,85.0,-115250.0
2024-04-29 00:33:00,short,17879.5,,,2024-04-29 00:36:00,SL,17884.5,-115.0,-115365.0
2024-04-29 01:36:00,short,17888.75,,,2024-04-29 01:38:00,SL,17893.75,-115.0,-115480.0
2024-04-29 03:49:00,long,17904.75,,,2024-04-29 03:57:00,SL,17899.75,-115.0,-115595.0
2024-04-29 04:20:00,long,17904.75,,,2024-04-29 04:33:00,TP,17909.75,85.0,-115510.0
2024-04-29 04:46:00,long,17910.25,,,2024-04-29 05:04:00,SL,17905.25,-115.0,-115625.0
2024-04-29 05:13:00,short,17908.25,,,2024-04-29 05:22:00,SL,17913.25,-115.0,-115740.0
2024-04-29 05:45:00,short,17914.25,,,2024-04-29 05:52:00,SL,17919.25,-115.0,-115855.0
2024-04-29 06:37:00,short,17902.75,,,2024-04-29 06:50:00,TP,17897.75,85.0,-115770.0
2024-04-29 10:14:00,short,17878.5,,,2024-04-29 10:16:00,SL,17883.5,-115.0,-115885.0
2024-04-29 12:05:00,long,17912.25,,,2024-04-29 12:08:00,TP,17917.25,85.0,-115800.0
2024-04-29 12:59:00,long,17922.25,,,2024-04-29 13:01:00,SL,17917.25,-115.0,-115915.0
2024-04-29 13:07:00,short,17916.0,,,2024-04-29 13:10:00,TP,17911.0,85.0,-115830.0
2024-04-29 13:18:00,long,17912.0,,,2024-04-29 13:19:00,TP,17917.0,85.0,-115745.0
2024-04-29 16:26:00,long,17898.25,,,2024-04-29 16:28:00,TP,17903.25,85.0,-115660.0
2024-04-29 16:42:00,long,17902.5,,,2024-04-29 16:44:00,TP,17907.5,85.0,-115575.0
2024-04-29 17:48:00,short,17922.0,,,2024-04-29 17:50:00,TP,17917.0,85.0,-115490.0
2024-04-30 00:54:00,short,17910.25,,,2024-04-30 00:59:00,TP,17905.25,85.0,-115405.0
2024-04-30 01:23:00,short,17910.75,,,2024-04-30 01:30:00,SL,17915.75,-115.0,-115520.0
2024-04-30 01:41:00,long,17912.25,,,2024-04-30 02:36:00,TP,17917.25,85.0,-115435.0
2024-04-30 03:06:00,long,17911.25,,,2024-04-30 04:16:00,SL,17906.25,-115.0,-115550.0
2024-04-30 04:32:00,short,17907.0,,,2024-04-30 05:04:00,TP,17902.0,85.0,-115465.0
2024-04-30 05:08:00,long,17901.75,,,2024-04-30 05:13:00,SL,17896.75,-115.0,-115580.0
2024-04-30 05:47:00,short,17879.75,,,2024-04-30 05:50:00,SL,17884.75,-115.0,-115695.0
2024-04-30 07:04:00,short,17901.75,,,2024-04-30 07:05:00,TP,17896.75,85.0,-115610.0
2024-04-30 07:21:00,long,17887.5,,,2024-04-30 07:25:00,TP,17892.5,85.0,-115525.0
2024-04-30 08:21:00,long,17888.75,,,2024-04-30 08:28:00,TP,17893.75,85.0,-115440.0
2024-04-30 09:42:00,short,17878.25,,,2024-04-30 09:44:00,SL,17883.25,-115.0,-115555.0
2024-04-30 12:41:00,long,17817.75,,,2024-04-30 12:43:00,SL,17812.75,-115.0,-115670.0
2024-04-30 13:32:00,long,17834.25,,,2024-04-30 13:33:00,TP,17839.25,85.0,-115585.0
2024-04-30 13:39:00,long,17846.5,,,2024-04-30 13:40:00,TP,17851.5,85.0,-115500.0
2024-04-30 13:49:00,long,17861.0,,,2024-04-30 13:50:00,SL,17856.0,-115.0,-115615.0
2024-04-30 14:13:00,long,17864.0,,,2024-04-30 14:14:00,TP,17869.0,85.0,-115530.0
2024-04-30 15:21:00,short,17774.5,,,2024-04-30 15:22:00,TP,17769.5,85.0,-115445.0
2024-04-30 17:04:00,short,17701.0,,,2024-04-30 17:05:00,TP,17696.0,85.0,-115360.0
2024-04-30 18:05:00,short,17731.5,,,2024-04-30 18:07:00,TP,17726.5,85.0,-115275.0
2024-04-30 19:50:00,short,17677.5,,,2024-04-30 19:51:00,TP,17672.5,85.0,-115190.0
2024-04-30 22:55:00,short,17496.25,,,2024-04-30 23:00:00,TP,17491.25,85.0,-115105.0
2024-05-01 00:20:00,long,17509.5,,,2024-05-01 00:23:00,SL,17504.5,-115.0,-115220.0
2024-05-01 02:17:00,long,17506.25,,,2024-05-01 02:29:00,TP,17511.25,85.0,-115135.0
2024-05-01 03:28:00,short,17520.75,,,2024-05-01 03:53:00,SL,17525.75,-115.0,-115250.0
2024-05-01 04:46:00,long,17524.0,,,2024-05-01 04:58:00,TP,17529.0,85.0,-115165.0
2024-05-01 08:27:00,short,17476.0,,,2024-05-01 08:37:00,TP,17471.0,85.0,-115080.0
2024-05-01 09:27:00,short,17440.75,,,2024-05-01 09:29:00,TP,17435.75,85.0,-114995.0
2024-05-01 11:17:00,short,17456.75,,,2024-05-01 11:19:00,SL,17461.75,-115.0,-115110.0
2024-05-01 11:48:00,long,17457.5,,,2024-05-01 11:50:00,SL,17452.5,-115.0,-115225.0
2024-05-01 12:31:00,long,17491.25,,,2024-05-01 12:32:00,TP,17496.25,85.0,-115140.0
2024-05-01 13:30:00,long,17513.25,,,2024-05-01 13:31:00,SL,17508.25,-115.0,-115255.0
2024-05-01 13:58:00,long,17479.0,,,2024-05-01 13:59:00,SL,17474.0,-115.0,-115370.0
2024-05-01 14:28:00,short,17457.75,,,2024-05-01 14:29:00,SL,17462.75,-115.0,-115485.0
2024-05-01 16:35:00,long,17454.5,,,2024-05-01 16:36:00,SL,17449.5,-115.0,-115600.0
2024-05-01 17:20:00,long,17422.0,,,2024-05-01 17:21:00,TP,17427.0,85.0,-115515.0
2024-05-01 18:22:00,short,17487.25,,,2024-05-01 18:23:00,TP,17482.25,85.0,-115430.0
2024-05-01 19:23:00,long,17729.5,,,2024-05-01 19:24:00,TP,17734.5,85.0,-115345.0
2024-05-01 20:30:00,short,17460.0,,,2024-05-01 20:31:00,TP,17455.0,85.0,-115260.0
2024-05-01 23:31:00,short,17499.25,,,2024-05-01 23:33:00,SL,17504.25,-115.0,-115375.0
2024-05-02 02:18:00,short,17546.5,,,2024-05-02 02:34:00,TP,17541.5,85.0,-115290.0
2024-05-02 02:37:00,long,17545.5,,,2024-05-02 02:40:00,TP,17550.5,85.0,-115205.0
2024-05-02 03:08:00,long,17555.5,,,2024-05-02 03:35:00,SL,17550.5,-115.0,-115320.0
2024-05-02 04:00:00,long,17550.25,,,2024-05-02 04:29:00,SL,17545.25,-115.0,-115435.0
2024-05-02 05:37:00,short,17544.75,,,2024-05-02 05:41:00,SL,17549.75,-115.0,-115550.0
2024-05-02 09:12:00,short,17568.25,,,2024-05-02 09:16:00,SL,17573.25,-115.0,-115665.0
2024-05-02 10:05:00,long,17584.75,,,2024-05-02 10:07:00,TP,17589.75,85.0,-115580.0
2024-05-02 11:00:00,long,17599.75,,,2024-05-02 11:02:00,TP,17604.75,85.0,-115495.0
2024-05-02 12:20:00,long,17587.75,,,2024-05-02 12:21:00,SL,17582.75,-115.0,-115610.0
2024-05-02 12:32:00,long,17585.0,,,2024-05-02 12:33:00,TP,17590.0,85.0,-115525.0
2024-05-02 15:33:00,long,17521.25,,,2024-05-02 15:34:00,SL,17516.25,-115.0,-115640.0
2024-05-02 17:49:00,short,17590.25,,,2024-05-02 17:50:00,SL,17595.25,-115.0,-115755.0
2024-05-02 18:17:00,short,17606.75,,,2024-05-02 18:19:00,SL,17611.75,-115.0,-115870.0
2024-05-02 19:04:00,long,17657.5,,,2024-05-02 19:05:00,TP,17662.5,85.0,-115785.0
2024-05-02 19:46:00,long,17638.5,,,2024-05-02 19:47:00,SL,17633.5,-115.0,-115900.0
2024-05-02 20:24:00,short,17653.0,,,2024-05-02 20:28:00,SL,17658.0,-115.0,-116015.0
2024-05-02 20:59:00,long,17743.0,,,2024-05-02 22:00:00,SL,17738.0,-115.0,-116130.0
2024-05-02 22:27:00,long,17763.5,,,2024-05-02 22:30:00,SL,17758.5,-115.0,-116245.0
2024-05-03 00:28:00,short,17746.0,,,2024-05-03 00:30:00,SL,17751.0,-115.0,-116360.0
2024-05-03 03:16:00,long,17764.0,,,2024-05-03 03:18:00,SL,17759.0,-115.0,-116475.0
2024-05-03 03:20:00,long,17761.75,,,2024-05-03 03:40:00,TP,17766.75,85.0,-116390.0
2024-05-03 04:22:00,long,17763.0,,,2024-05-03 04:30:00,SL,17758.0,-115.0,-116505.0
2024-05-03 07:37:00,short,17723.25,,,2024-05-03 07:39:00,SL,17728.25,-115.0,-116620.0
2024-05-03 10:18:00,long,17771.25,,,2024-05-03 10:20:00,TP,17776.25,85.0,-116535.0
2024-05-03 12:00:00,long,17750.75,,,2024-05-03 12:02:00,TP,17755.75,85.0,-116450.0
2024-05-03 13:10:00,long,17928.75,,,2024-05-03 13:11:00,TP,17933.75,85.0,-116365.0
